id,name,host_id,host_name,room_type,price
15672687,Nice 2.5 room Blueberry II Apartment,12886487,Stephanie,Entire home/apt,97
15673613,Nice 2.5 room Blueberry III Apartment,12886487,Stephanie,Entire home/apt,97
15673758,Nice 2.5 room Blueberry IV Apartment,12886487,Stephanie,Entire home/apt,97
15673943,Nice 1 room Cranberry II Apartment,12886487,Stephanie,Entire home/apt,87
15674116,Nice 1 room Cranberry III Apartment,12886487,Stephanie,Entire home/apt,87
15674393,Nice 1 room Cranberry IV Apartment,12886487,Stephanie,Entire home/apt,87
15712965,Zh Blue 3 - Letzigrund HITrental Apartment,12886487,Stephanie,Entire home/apt,104
15724194,Appartement - stylish möbliert in direkter Seenähe,1509492,Villa,Entire home/apt,
15765855,Letzigrund Pink GF Apartment,12886487,Stephanie,Entire home/apt,-144
15780649,Letzigrund Green 5 Apartment,12886487,Stephanie,Entire home/apt,104
15780767,Letzigrund Red 5 Apartment,12886487,Stephanie,Entire home/apt,105
15781029,Zh Red 4 - Letzigrund HITrental Apartment,12886487,Stephanie,Entire home/apt,105
15782017,I am subletting my cosy flat perfectly situated,19946038,Beata,Entire home/apt,141
15796209,"top modern 3.5 room loft apartment, hip urban city",25633261,Thomas,Entire home/apt,176
15796740,Letzigrund Pink 2 Apartment,12886487,Stephanie,Entire home/apt,
15796875,Letzigrund Pink 1 Apartment,12886487,Stephanie,Entire home/apt,144
15797256,Letzigrund Green 3 Apartment,12886487,Stephanie,Entire home/apt,104
15797502,Letzigrund Yellow 3 Apartment,12886487,Stephanie,Entire home/apt,107
15853113,"helles Zimmer in angenehmer 3er WG, top Anbindung",39029806,Daniel,Private room,
15862347,Zürich Unterstrass,102813335,Walter,Private room,75
15863621,AUF ZEIT (04/17- ca. 06/18); 3.5-Zimmer-Wohnung,76702774,Sabrina,Entire home/apt,-85
15879427,GDN AU Apartment 1,3072679,Felix,Entire home/apt,134
15946738,Large and bright apartment - Quiet but central,8370002,Cecilia & Pietro,Entire home/apt,
16046971,Luxe 2.5 Room Escape Laundry tower gourmet kitchen,101365596,Fabienne,Entire home/apt,178
16145275,Amazing flat with Jacuzzi on the roof terasse,73474333,Lukas,Private room,272
16238364,Terrace-flat close to the alternative Zurich,8525630,Deniz,Entire home/apt,
16263857,Living & homeoffice at the oldtown (54),13570663,Christian Robert,Entire home/apt,100
16329215,Furnished renovated apartment in Zurich City,57254504,Deborah,Entire home/apt,153
16390223,Cozy doubleroom in garden apartment - Kreis 7,43111694,Georgia,Private room,57
16435353,Elegant Zurich apartment with view,62954320,Rakhal,Entire home/apt,
16611283,Zentrales Businessappartment,109624444,Richard,Entire home/apt,
16735328,Cozy attic Loft - 10 min to HB,21667827,Lara,Entire home/apt,92
16791727,"Downtown Penthouse Apartment, including Parking",1788253,Thierry,Entire home/apt,399
16819240,"Executive 1BR flat, city center (Hammer 2)",23561865,Dimi,Entire home/apt,169
16887683,"Top floor,big terrace,panoramic view, free parking",81722077,Brigitte,Entire home/apt,
16938543,Loft,113205995,Katja,Entire home/apt,130
16940188,Gemütliche Wohnung am Stadtrand,110912825,Meisam,Private room,98
17023300,"Room 6 - Toblerplatz, Zuriberg",40667302,Peter/Engin,Private room,
17083952,"Spacious 4BR/2BA home, 8’ walk to lake&old town",11210478,Patrick,Entire home/apt,467
17094910,Wohnung mit grossem sonnigen Süd-Balkon/ 5' bis HB,16131162,Thomas,Entire home/apt,195
17138503,Stadt Zürich zentrale Wohnung,19610180,Rossana,Entire home/apt,95
17261980,Lovely 1BR flat in the city center/lake (Mainau 2),23561865,Dimi,Entire home/apt,148
17267151,Private Luxury Villa in Central Zurich,113193480,Silverus,Entire home/apt,1086
17428463,Sunny and newly renovated  flat in Wiedikon,106120375,Laurent,Entire home/apt,87
17471935,Downtown Deluxe Studio with Queen Bed (BE-35),25291258,Delta,Entire home/apt,94
17486280,"Schöne, helle Wohnung in Gehdistanz zum See",11601175,Sam,Entire home/apt,
17506390,"Apartment ""Doerfli 4"" in the Old Town",12886487,Stephanie,Entire home/apt,149
17529228,Private air-conditioned studio in heart of Zurich,3509527,Norell,Entire home/apt,115
17603397,Big furnished apartment with a lot of extras!!,117019330,Eran,Entire home/apt,110
17646972,Charming rooftop flat in the city center,3360432,Marco,Entire home/apt,
17648054,"Central, cozy, renovated, 3.5 rooms, balcony",119947257,Patrick,Entire home/apt,123
